frame 12: [[[250.3779296875, 453.5595703125], [250.3779296875, 469.7751535241602], [262.5029727875319, 348.9678112670318], [348.3176067784321, 351.2300586803228], [347.8498096585794, 460.81716104017073], [339.73476498328523, 401.5640699808889], [314.24932776362493, 348.32583506081176], [317.18945022793633, 229.3204215814951], [323.59925675058673, 105.60309167420775], [332.5407005962425, 105.65380844414227], [325.6740233129734, 16.303050506462945], [205.71390428263166, 299.8105515779737], [208.31393989102943, 223.31881794633114], [236.76824758888426, 103.10420564515707], [408.67318598814126, 101.24551102692377], [442.02276209645635, 210.28944805438002], [444.85873986220383, 323.5568189446028], [0.94921875, 0.0]]]
frame 13: [[[253.650390625, 453.3926086425781], [253.650390625, 465.5949439727255], [261.75950335308835, 347.8284508945437], [347.53665115132736, 337.856273257036], [347.06967005045476, 459.8228915490349], [334.89077407225324, 454.1326579402207], [312.7852425368383, 347.5983973349238], [318.1643258140657, 225.15612750417822], [326.9953270685835, 102.93952435671358], [332.21748980943454, 103.26111572951322], [328.86945380723483, 13.33623885313133], [204.26238048950358, 298.7245562988047], [206.67923909745218, 221.70621618704342], [239.43282443578164, 105.11788765977263], [408.5367388537196, 107.64778879096504], [437.55377384605794, 213.62680242376044], [440.06194192113645, 322.8452222590476], [0.9521484375, 0.0]]]
frame 14: [[[247.71875, 457.96875], [251.77681837481236, 466.11201329317834], [264.60190265575915, 347.218783257758], [342.6774335521926, 349.83457912701743], [345.76348667309753, 460.6529564589372], [333.9157886166092, 454.1427466098924], [311.78637264994353, 351.39051083902405], [317.1888587176832, 231.00261172893758], [326.05884808554816, 110.63948636990601], [327.22571061867677, 106.80463395091824], [331.4475458478072, 11.638893831672945], [203.0659647120221, 297.89423002944557], [205.2666821786298, 220.67525062126407], [238.12850906663024, 103.51557404097201], [403.45976444827465, 110.24044133718132], [432.39369790097714, 212.84044309860033], [439.098474668252, 322.1975565287214], [0.95166015625, 0.0]]]
frame 15: [[[248.90625, 453.28125], [248.90625, 465.53511814108913], [261.16011814108913, 347.2581320625774], [339.14880044884603, 337.2586290222903], [342.2594252314873, 455.3155939271723], [330.4172049715555, 453.5130283979892], [308.2851449998067, 347.0373197386882], [313.68887046400795, 230.77103117567674], [322.5587266592157, 115.12649425015542], [323.7256870321011, 107.22269886897134], [327.9475312918602, 16.063501869746833], [204.01945508264663, 298.0538014116951], [206.42653374269642, 220.76566407311742], [235.16129454827495, 107.93468435031534], [399.9272642161912, 110.7417263603365], [424.5774671085929, 212.8279571567282], [430.9425575809556, 317.74093083044005], [0.953125, 0.0]]]
frame 16: [[[245.5283203125, 452.3369140625], [245.5283203125, 464.5650153326107], [257.7564215826107, 346.54330201405287], [335.5776076048718, 336.5574526853964], [338.6862778595944, 454.35877862919835], [326.86944355858975, 452.5673469184742], [304.78416288495606, 346.3216820402118], [310.1760341809533, 230.2995595110716], [319.0272508640241, 114.89592618411072], [320.1918606749956, 107.00068895966731], [324.40488481605274, 16.03680623654691], [200.744218122036, 297.41142122433047], [203.13797904420983, 220.30394167480995], [235.97715723760078, 107.71810010308049], [391.9744142731052, 110.51180517028654], [416.1654718571639, 212.37771098563815], [426.6926542683327, 317.0706144910181], [0.95263671875, 0.0]]]
frame 17: [[[247.7060546875, 453.3369140625], [247.7060546875, 465.56501533261076], [255.83224247760404, 347.5433020140529], [333.0600840405344, 337.5574526853964], [336.182460692318, 455.35877862919835], [324.37326368123234, 453.5673469184742], [302.28153632104977, 347.3216820402118], [309.6867512727598, 231.2995595110716], [320.8813928369401, 115.89592618411075], [318.28056137899904, 112.24607675949684], [321.978260790376, 17.33134006152816], [198.2213784879665, 293.79673170427355], [200.63590831378986, 220.62542948046146], [233.47338754336934, 108.71057427977902], [389.47193875790487, 115.64855951187832], [413.6650337442985, 213.7115579163563], [420.0037671985718, 313.6490652407016], [0.9560546875, 0.0]]]
frame 18: [[[256.7373046875, 453.6708984375], [248.7135606494511, 461.69464247554885], [255.6560378341788, 348.96812880361944], [331.6974786319185, 339.32528623253756], [334.85481469203023, 455.6371267693313], [335.2113469121001, 453.8952371142086], [302.7653553755911, 349.0310269689225], [306.9151090657017, 234.47155944197306], [315.47115685321495, 120.51256190533041], [316.6091081217127, 112.668644821205], [320.76708334134275, 18.52618195721024], [194.31945447725474, 295.85569347391254], [196.43356194810963, 223.76840798181166], [228.80577634421243, 113.4305885343798], [382.78397250792267, 116.13224234804403], [406.7413393626164, 216.6932379564469], [413.01529998456385, 315.691397507881], [0.95849609375, 0.0]]]
frame 19: [[[256.4169921875, 457.0146484375], [248.29080439739593, 461.0642336829245], [255.32218093304135, 346.2200345308894], [323.6683240121016, 336.523862118491], [330.3933936501053, 454.3576223623001], [331.15184893075445, 452.56719365358293], [298.3417173925372, 346.3220429491043], [302.55228665853497, 232.51959260181982], [311.2187895838368, 119.47510535376874], [312.3706832356088, 111.6735721171493], [316.58155452164357, 16.32395624617488], [192.9159414085015, 288.1850639221815], [195.31514260674305, 222.85955066252666], [228.1541209452522, 112.41216353469997], [379.67180360500737, 119.32199632128255], [403.66576229788984, 217.41941996970786], [405.83182863570175, 312.9242965323487], [0.9560546875, 0.0]]]
frame 20: [[[266.08203125, 456.15234375], [253.93122500526073, 460.17648031350063], [252.37401849399154, 346.0767995515768], [318.91060404203256, 336.4204120896423], [325.63235097106696, 453.48731556964407], [326.4006441321536, 451.7301600686156], [293.79146531964744, 346.17500121396665], [297.98264422193967, 233.09062839734653], [306.5943345057858, 120.75406427792707], [307.7397801598175, 112.97819985084791], [315.98095105048264, 18.243033063863926], [193.74772531505363, 288.3179021831825], [196.07156184696134, 219.57458235507573], [228.70882514615957, 117.82215342479633], [374.794920914988, 121.04844124444908], [394.21126313041464, 218.04816493393295], [396.0083173277517, 317.31626000996624], [0.95458984375, 0.0]]]
frame 21: [[[264.08203125, 469.09765625], [251.93122500526073, 461.022692322292], [250.37401849399157, 344.9771439167108], [316.9106040420326, 335.39604411522345], [323.6323509710669, 448.0325736566604], [312.3251863016519, 466.8749662701431], [290.41330195111107, 346.40116950330054], [297.783493551203, 236.4837430718892], [308.90707249218866, 128.80674765429004], [306.32382565307745, 104.28439830228992], [309.9982933429634, 7.871132056311973], [191.4525821166755, 286.946238450564], [189.89437766821848, 218.4104283369731], [226.23000616613223, 116.85386592645442], [368.3685687173524, 124.14891908982962], [387.5732951829558, 217.38298360514614], [389.3604212897747, 311.9318709740846], [0.95703125, 0.0]]]
