frame 1: [[[287.240234375, 334.951171875], [284.11460113231345, 276.71619938659506], [283.69324323677694, 201.42579467939552], [315.5229854528367, 198.05978258017245], [319.2285930018478, 258.5847724852254], [319.6899562893088, 324.4230457104588], [304.00996363679496, 209.9740287145532], [303.56784949987775, 147.8505736535166], [305.06928115911455, 91.23535018805947], [302.1483302979531, 66.70151685105226], [301.7551780217113, 11.868498766649484], [256.6797090749759, 186.0481652544273], [251.78052741496472, 151.8099992356938], [263.67913078922055, 89.51370890079711], [337.03448840254157, 86.10103042477694], [353.845624225997, 140.25474335271966], [355.64324973517614, 195.25497860063226], [0.939453125, 0.0]]]
frame 2: [[[287.626953125, 335.951171875], [284.50131988231345, 271.05082195800725], [287.2009157741199, 201.90428790905545], [319.50178959026346, 195.78016136161133], [323.22814848075393, 255.97800148455065], [320.5575258639772, 321.79978656694806], [310.7905352758726, 207.35164943669147], [309.50535381603584, 146.91235606306316], [309.33359639693157, 92.10749662289473], [306.18199285324306, 67.70147730967513], [302.62695975594465, 12.879651785087503], [260.362754115385, 183.58359596473738], [258.92292355396836, 152.35184322035886], [268.10023996192024, 93.8234546645183], [341.050468975181, 87.49483153331767], [354.600529746597, 141.27514022026034], [352.90759014242354, 196.24840628849657], [0.93701171875, 0.0]]]
frame 3: [[[286.01953125, 336.76171875], [282.8769574787558, 271.5002553319663], [285.59120175692243, 198.58988140888357], [318.07017386593805, 195.46555795608427], [321.8138571687469, 256.3575941893784], [319.1281398968918, 319.18869825177075], [309.3080014506679, 207.20375872734547], [308.0161238720157, 146.6880808163034], [307.8434965152163, 91.59772019702967], [304.6748076263914, 67.0601220265134], [301.10052493977975, 11.936019629294762], [258.602400242649, 183.605650947823], [257.15955236385787, 152.1716043169656], [266.38718408285473, 93.3172662893083], [339.744017851905, 86.9608395305223], [353.358191956834, 144.36761629168663], [348.48517224387336, 199.95605667207315], [0.9345703125, 0.0]]]
frame 4: [[[289.4345703125, 332.2333984375], [283.14991559671915, 277.167398395715], [282.3178905487798, 208.7336842788606], [317.4274112019004, 199.32225883809582], [318.29351602534547, 259.3107600104564], [318.40236110908324, 325.28785999758566], [302.62632611311955, 213.93545458259447], [300.60971744470083, 148.51230959754105], [300.3448968081701, 88.11527719142775], [300.3093147341804, 66.55187835420597], [294.0160301479238, 8.529648693019087], [221.234961094043, 151.6414350387625], [233.3795137794847, 135.1897756035352], [260.2331887953979, 88.36987901052731], [335.8392576747226, 82.99958674552157], [352.64323402051104, 137.1127645202021], [357.6029203186611, 198.89348013787802], [0.931640625, 0.0]]]
frame 5: [[[288.24609375, 336.76171875], [278.76959200844215, 271.5002553319663], [268.0120757935636, 198.58988140888357], [305.0911010090332, 192.21923376401372], [312.61821604247103, 252.7071818239041], [316.7085685149137, 322.2773034620483], [291.7850968194632, 204.05996927889106], [285.5244966603682, 141.36956023810032], [281.5704120768886, 84.44234600900866], [281.05923674175096, 69.65811385305996], [287.28052840933117, 8.847145118925186], [151.24434447147763, 114.2118890427599], [185.40536902981393, 108.66315003604588], [234.72094307420025, 82.60230104157482], [313.0926314970684, 79.3220686496035], [349.71649057712244, 120.70899820161739], [389.2846416568643, 164.575048955752], [0.95849609375, 0.0]]]
frame 6: [[[285.5576171875, 333.6962890625], [272.65067888507053, 270.5912482959644], [261.28117535890567, 196.59385292076266], [299.0164784246879, 176.79628612419836], [319.84211021554745, 247.11466557057747], [341.928421428464, 322.40320934020514], [285.35133167923044, 198.72617841135906], [274.1159004261455, 134.5964962128719], [267.9305922016595, 76.5854150211922], [270.37756684326973, 71.52767849659953], [273.89729971332366, 10.696552887603543], [127.67906970399356, 97.42548368800729], [165.57613965823182, 100.14786846877892], [219.58127271439517, 84.44014542816939], [303.30211091862503, 75.8878981745737], [357.8989720132981, 104.02397871478504], [416.7603633584054, 120.4892084855905], [0.953125, 0.0]]]
frame 7: [[[289.48046875, 334.94921875], [275.7133276277861, 267.555528062185], [260.10131246935975, 203.33759958831516], [296.3750851894071, 190.50134518676447], [328.8360083076425, 244.85247500593536], [371.3949338356658, 315.70320030739674], [291.1978201934026, 201.3189936580683], [275.68544781275045, 138.06691549484157], [266.9978117476838, 80.24464017791793], [265.9614938074617, 71.64422794730908], [269.2393077053333, 9.98073588048613], [112.88061709159467, 73.77921927173232], [153.69351823992753, 77.90772649643156], [218.60521219854616, 75.00810942724274], [297.5536662514677, 74.61981599866476], [358.56268903518384, 84.86950761514117], [414.2367358939678, 89.62649622275316], [0.90185546875, 0.0]]]
frame 8: [[[287.322265625, 333.568359375], [269.63728891277424, 264.4560181291583], [260.35378148822497, 194.87748805887486], [287.51992525352887, 185.14077319556304], [338.05027266356547, 241.26025996426966], [398.31582238067944, 298.9279729936497], [287.3786545818509, 195.4066410911796], [272.9335045068253, 133.6220539905552], [267.80998509113266, 76.4465094524263], [267.1980158018714, 67.77622771347313], [270.6129458622022, 8.317228439965882], [114.13312147753382, 48.4206586450038], [159.6302374496834, 60.87694628613309], [215.7287795418541, 69.52093447039911], [299.4202429797311, 70.61024926664037], [350.9273780289814, 74.26240432543632], [410.85280526150797, 64.21998657127338], [0.9267578125, 0.0]]]
frame 9: [[[288.8955078125, 333.4248046875], [271.1672716670052, 267.8924523193792], [261.8615403575392, 194.68519279562162], [289.09451430080225, 181.01682401969236], [336.0367843756827, 236.81074246255838], [396.0973409610745, 298.36737331310854], [288.67077263333215, 194.95266789609516], [274.45151197359183, 133.00651586113523], [269.33566515372377, 75.6834469451683], [268.7227173245114, 66.99078739582347], [275.6482460232824, 7.384618983737166], [115.48205830811597, 33.626571838547946], [150.52339007501178, 47.63780157583607], [216.13502837099117, 63.68489041530035], [301.01792352476406, 69.19470724352585], [360.20087176613094, 69.8910773190903], [417.1042789848993, 55.87237506531834], [0.9150390625, 0.0]]]
frame 10: [[[289.7158203125, 336.7451477050781], [275.6387581291414, 275.26218540218827], [263.24651541307037, 195.2025461086085], [293.5505441901371, 184.7137821089284], [329.62244291369257, 247.95904241215112], [366.094170939526, 317.43321083083947], [287.03667916505094, 196.25801406779237], [276.92674023996926, 133.24237238709156], [274.00141179279814, 76.16141795554972], [273.6379758703163, 67.55195113654634], [280.56939814581165, 8.238277785711379], [121.22539054943284, 41.18360954520974], [169.82793909010545, 56.253575494449066], [226.35064030916195, 65.21970991959635], [306.09155479061894, 69.86454948804123], [360.92990477730604, 77.49643678881539], [413.5237711263741, 67.99540437183225], [0.9248046875, 0.0]]]
frame 11: [[[285.7275390625, 332.5029296875], [275.8659586638316, 268.02678290289754], [267.99308574993563, 199.49903883166508], [300.23543999465244, 190.0284631836623], [310.7207525083504, 249.2486094879232], [315.29515747069433, 321.29730267645414], [289.3951553531519, 201.61987059789755], [282.89223012681384, 136.70035807405156], [278.78102280252415, 77.49404114821274], [278.2505909617972, 68.96880368123796], [284.72394249302215, 9.920752448698043], [150.20644595812539, 74.3795761072984], [182.9311036223071, 85.33213684250681], [233.90661942050346, 70.27718854676878], [308.4072882373617, 74.80171348784806], [363.3675143574871, 98.6839767480584], [416.45593095766816, 114.88411245738939], [0.9501953125, 0.0]]]
frame 12: [[[287.81640625, 336.76171875], [278.33990450844215, 271.5002553319663], [270.77243336895316, 198.58988140888357], [305.00724510839, 188.96245790091774], [312.2265351282841, 252.38963852566152], [313.11320567501957, 322.27233775811413], [294.20238823959903, 200.64002283390317], [291.80962850649337, 139.4121066082727], [291.4975733792293, 84.30188213283367], [291.45578837211394, 69.65001208370028], [291.4501165332581, 12.219502258306225], [202.50433008669185, 131.62116883670024], [216.81639436357162, 123.52361304612171], [247.1929195175608, 84.17622641660951], [323.44963597498287, 82.68365115422509], [350.1659130828537, 127.58039534642208], [375.6040373162932, 178.49090468018062], [0.9423828125, 0.0]]]
frame 13: [[[287.78515625, 336.76171875], [284.6425824787558, 271.5002553319663], [287.35682675692243, 201.97681620343127], [323.11436015479643, 195.83077440949995], [320.81694842206963, 256.3635732863363], [314.2551107877193, 325.92063699381674], [307.04430053162963, 207.6999532738036], [304.52004658012817, 146.691406302706], [302.61161665850176, 91.58133893832306], [302.35644061526983, 67.05449147524408], [302.3218718444124, 11.932148265149499], [260.3646824906708, 183.60218227569524], [255.73247103038085, 149.05166492929777], [264.5899409941048, 89.68157039393901], [334.4920430942062, 86.53102784069034], [347.87144111104345, 137.7145040864709], [349.33671825965723, 192.68610333915484], [0.93408203125, 0.0]]]
frame 14: [[[287.4501953125, 335.8564453125], [287.4501953125, 270.77554891507464], [290.5842987597339, 201.44056350087615], [323.0459558686408, 195.30546955505434], [323.60031732043683, 255.670778915754], [317.4154233957533, 325.03808250868974], [310.27654005659906, 207.15137526880304], [309.3346351095275, 146.30336469494918], [309.2083357571785, 91.34058522693475], [309.19119038092646, 70.16464978600612], [309.18884838865574, 12.182588795894294], [264.06144904333337, 183.07070144558705], [259.1425648065905, 148.6563897162515], [267.9507215402838, 89.43994432533978], [341.0012266302523, 86.29834298533387], [357.85266873920125, 137.3402273773046], [362.8517459377804, 195.50658349890176], [0.93896484375, 0.0]]]
frame 15: [[[283.62109375, 336.76171875], [286.7636675212442, 271.5002553319663], [293.5004815907094, 198.58988140888357], [326.5721409788606, 198.70098859102407], [323.96430166356924, 256.67509598545007], [314.1999962972812, 325.93757774667887], [312.8883651094805, 207.69104203071217], [314.27878690933835, 146.68863816267245], [316.0393856134082, 91.58036009044118], [316.27858728759037, 67.05422140063496], [313.1700296053344, 15.287143763541556], [267.44976685585937, 183.79980809934187], [262.50222501354824, 149.09623366188157], [274.46257373947975, 89.67340276331308], [348.2258578532624, 89.72346663402816], [361.85876619959964, 141.3479932770096], [363.3361864205787, 199.6906542598606], [0.93505859375, 0.0]]]
frame 16: [[[282.48828125, 337.76171875], [285.6308550212442, 269.1380176442915], [295.5477431828793, 199.32758518666944], [329.05576952568714, 193.19386771848284], [323.30416780040554, 257.0557639173089], [313.1184086073659, 323.5573264836583], [314.90092115741265, 205.04638135263139], [318.28800824196884, 144.0476656044815], [321.89328057615273, 88.94413950097892], [322.37401146814665, 67.71765695501435], [325.58505620633736, 12.936704873119652], [267.54044495765675, 181.14565959342232], [267.9064735573795, 143.3703362885875], [283.6913668387943, 86.73964070096035], [354.64084302474663, 87.05356197329158], [368.0184288831826, 142.0453654541617], [363.12191121582566, 197.35062598570292], [0.93359375, 0.0]]]
frame 17: [[[245.19140625, 311.33203125], [264.2791915708359, 256.11358072921655], [289.1481779938368, 187.49297327197942], [327.770980824749, 190.99659381929277], [322.2674643219832, 252.81114880476858], [312.16596702487413, 325.74974771987075], [313.9346782140721, 200.93609576113602], [322.0688864664793, 141.1129427110457], [331.0562528086187, 87.80149379949316], [329.05705295837873, 66.71162185870924], [328.7884761878222, 11.944682583223525], [229.6069638978202, 152.32577371457754], [249.65800080744157, 123.05466975578636], [287.32092640781644, 80.70095079347352], [364.42962994072747, 85.39873062564969], [381.253547254045, 137.79181330959955], [392.65690850174474, 199.48322576564502], [0.93701171875, 0.0]]]
frame 18: [[[228.39453125, 307.69921875], [260.4758685787747, 249.14067080033888], [290.0890093708728, 183.59040742300698], [329.1874385850523, 184.1164267352932], [320.4691604654213, 248.8845938686853], [313.11865334642147, 325.5079536285471], [315.24771200776354, 190.6622563052618], [321.8459280793451, 133.56052475621541], [329.0405751761223, 83.86947634109217], [329.9704162412123, 66.3488277456146], [330.09394392017134, 8.606831799691506], [213.84471017204908, 117.68429056157336], [242.5143952797552, 105.92811085583908], [284.6084381022748, 75.78593418065732], [362.200007358066, 81.56602144563445], [392.1837278651552, 127.59162284149377], [417.909411287498, 185.24403444857725], [0.94775390625, 0.0]]]
frame 19: [[[217.365234375, 291.091796875], [252.9172020641371, 245.59515777618444], [286.34453499618894, 184.35280682274245], [326.02134968532164, 188.30162573404323], [320.41733131514894, 253.96698795663417], [313.42352313343673, 327.56850159351546], [309.3148633122108, 195.11881319381376], [316.6763662181031, 132.83753517053984], [325.61160846729217, 77.41047181882777], [326.7598632089495, 62.70911195633047], [326.91181010304416, 8.339271731723048], [182.22478792599432, 70.7955674430265], [219.49971273160745, 74.99785679295881], [279.46950732060503, 69.21159855293351], [359.29356566546426, 74.75483371779623], [412.9266550480201, 114.4434172306783], [464.21863876979734, 135.06272943992488], [0.94873046875, 0.0]]]
frame 20: [[[224.6005859375, 299.2197265625], [248.9310682378099, 253.46491743923912], [283.5898735450392, 187.42447321729514], [330.10891530712263, 188.35691115141535], [320.8347587721382, 259.16373236538635], [312.874290430157, 327.85855485022137], [311.7847921152858, 197.9096755324659], [316.7738211434937, 131.60584586851786], [322.5955322544215, 71.64505855038158], [323.35922308787303, 62.94572063048968], [320.0450782992531, 4.76497822993903], [181.21244742327522, 43.96876662027118], [215.86764140469637, 52.702654672648805], [272.9243517938282, 60.73294417339712], [355.01140408082455, 68.66359498148933], [409.097598737735, 90.59065153067485], [475.38066366529307, 100.13250681746375], [0.9287109375, 0.0]]]
frame 21: [[[247.9853515625, 315.3916015625], [265.88664922833607, 260.52286557041106], [286.16510555375135, 187.62352882807923], [328.86106511264506, 188.442441496183], [318.9876812169468, 257.9045753665823], [314.2080075806188, 328.6975353577374], [310.01469556769, 197.89872151203735], [311.2172705310473, 129.62439968264303], [313.1499650885383, 67.60846662612023], [316.9573162305476, 62.33162547605201], [306.8062470324028, 6.301827146102505], [173.64443212903694, 47.27663592496483], [213.6252733230475, 56.27873914623943], [266.01221526548557, 60.995075684942634], [350.27652379732933, 65.16336027007834], [406.1803675016972, 87.31574237531873], [474.77544580011545, 93.54370481871922], [0.91552734375, 0.0]]]
