frame 12: [[[792.7841796875, 951.6825561523438], [731.9225948294641, 819.1146940671514], [755.1986062929814, 616.3707790035719], [867.0167299143304, 589.1105646380506], [978.9379579934268, 732.826687510629], [1033.9281592434772, 938.2973870940077], [835.2253848683603, 617.725347000225], [808.284399301761, 489.4666189492551], [794.4419535366487, 374.1920679111103], [792.9849496643568, 335.59575180341193], [777.8767217205041, 181.72467223330895], [553.0566867816485, 539.0169622086654], [615.0601725595158, 483.0964379501717], [690.6309404387068, 369.33218499626105], [873.223495833773, 374.0001940198886], [854.285634158993, 514.6433275006549], [807.9636702157701, 628.708819412559], [0.95556640625, 0.0]]]
frame 13: [[[793.7822265625, 944.9248046875], [732.3443263081583, 811.0921370607739], [741.1381401826309, 614.7392866098879], [851.4872551291455, 587.5695201877754], [964.4488909393616, 740.9492333761947], [1020.0027256672365, 932.1799390476358], [827.6664647495556, 615.9598289123171], [800.851461600638, 482.8788030619502], [786.897101890352, 362.26044624637757], [785.4215785721053, 323.1392819205478], [770.1737348554759, 167.7965198074471], [534.896131021437, 520.0994885675285], [604.7426319255526, 456.19035951706985], [682.1304179043232, 356.05954074003114], [866.5016643448527, 361.7739112955758], [854.964276237308, 503.9941389797443], [801.3782149037432, 643.5452357354911], [0.95556640625, 0.0]]]
frame 14: [[[790.8857421875, 949.4697265625], [736.572781033904, 805.4558066252858], [746.08731616154, 597.5015432886828], [858.1760035605156, 569.8180502070404], [948.0216429221725, 733.6118573716203], [994.7461052381022, 919.6459287202531], [823.8026397511476, 598.363061274975], [797.9824627950569, 467.7865904710708], [783.9186352091772, 349.9059851766804], [774.7458931276759, 310.48404426135477], [766.053506103617, 152.97981150590914], [519.9385443431141, 501.78128439140295], [590.7173082277111, 436.8227977390053], [677.1134477110664, 335.0862916986894], [856.398850052123, 348.5593394516104], [844.2758123549615, 485.68882754425573], [789.8601020925848, 610.0786947620315], [0.95361328125, 0.0]]]
frame 15: [[[794.255859375, 949.365234375], [739.1270876282014, 803.1678869694848], [748.8009267187629, 592.1393050726601], [854.2692013664745, 555.9425088129339], [928.3356261248971, 729.928914654551], [966.5149887209728, 910.7473652485791], [825.7370253273813, 592.6879383357393], [797.3727839366042, 460.59728034735656], [778.8785234815024, 340.992146260872], [769.1231425895718, 292.8143199869983], [760.2540679881799, 140.72415550616606], [501.8244150306506, 469.33882841936673], [588.530287692925, 418.32407421491024], [678.8870874987686, 325.3828282082768], [852.4529565025649, 339.5373697594184], [839.676866893814, 470.58297455056976], [792.3497765971837, 604.6404738585824], [0.955078125, 0.0]]]
frame 16: [[[798.2587890625, 948.9208374023438], [742.062466997743, 799.866399523785], [751.9453135141991, 593.5086950265794], [851.0184114055536, 557.035503600107], [909.1699774137893, 734.5398845795343], [946.8336291828865, 910.0580084328981], [820.1922003731449, 593.9663635432252], [792.402763581232, 451.24850232229454], [773.6287377358983, 320.3824345413769], [771.6144817835163, 279.3184526823098], [747.5582207932082, 124.9418068475596], [490.8122777798317, 451.27251696965044], [572.1048789473192, 406.8069555556801], [671.2125066592059, 313.1377425205854], [848.7316086627527, 319.7796031089354], [835.5641721759139, 460.7206515492244], [779.1989332818246, 589.2556854715954], [0.955078125, 0.0]]]
frame 17: [[[797.1171875, 950.4765625], [739.8525075405832, 789.8043309964178], [741.9778613365725, 579.1209937586697], [850.3202450049579, 542.1457278671512], [893.2012414404367, 723.064202236361], [921.8562437100018, 910.681643603721], [808.9967745833777, 579.9185492603124], [786.070768926986, 438.70235554173917], [771.5384278690606, 310.0298473450426], [761.8658397645413, 268.4654394564608], [744.5911099375874, 111.17983845229054], [483.8771644168952, 425.8571189179547], [574.3159450890248, 388.2376166535918], [659.8479267635753, 302.2355515808858], [848.2137268113543, 309.5910806308338], [835.0682268924378, 444.702004179893], [786.0086512330006, 557.6606491331748], [0.955078125, 0.0]]]
frame 18: [[[794.716796875, 940.388671875], [736.8232980124421, 786.7920490794149], [738.9866315271095, 574.312106498752], [848.5279583106513, 528.3020178568711], [874.9269072445528, 719.3985058527977], [894.0193329349496, 909.5304407848121], [813.3665079320093, 575.0441833938014], [784.3051926570511, 427.9069008341442], [760.6596832385154, 293.21971610183255], [758.1160554061294, 259.65059793183866], [741.5403479575134, 101.34169248682065], [478.0729143243772, 410.504780831823], [569.5046805048045, 380.35441952426754], [656.0176884835448, 294.45237677557157], [846.4387757393072, 293.7981360740809], [833.0764547326891, 429.1949565993382], [766.6316038995135, 552.1600840703036], [0.94580078125, 0.0]]]
frame 19: [[[794.0126953125, 941.3466796875], [744.0037342500221, 785.8980861460974], [746.8760537567812, 561.8628706535802], [849.0939826123109, 523.820835793744], [858.313947251429, 708.9218473096281], [875.88415247812, 900.8044731662709], [811.3029584052981, 552.9642938089469], [783.3985376172986, 413.01844706357906], [759.5819767950748, 286.20935977381964], [756.9908957283725, 252.69012075600378], [731.8670893795771, 92.53807220072012], [482.3447869792817, 396.29140020996203], [567.3809958480055, 365.53179556843685], [653.775061214037, 287.16429889769336], [837.3735199478715, 278.89863187439005], [840.4355074110422, 405.9914235422449], [783.5560790261305, 538.7622116758135], [0.9482421875, 0.0]]]
frame 20: [[[793.853515625, 942.115234375], [743.1475557204254, 775.3876542144425], [737.7491754601622, 556.9904277947178], [849.1147153433749, 518.8838014526023], [842.1256827048646, 706.6838070606298], [858.0495028132528, 910.2935012009725], [809.6583950804196, 548.6076549316944], [783.0034806944338, 406.5058401003227], [758.9803087208325, 277.99230155080807], [747.9659186520531, 244.07771437353261], [729.9414943895339, 90.78613367671325], [477.8743458280401, 380.85130799724146], [571.8573908435346, 357.5185998795575], [652.4148116243671, 278.98745081138503], [837.8834484073856, 270.6636881099798], [840.9146834340453, 399.5640479441402], [765.8482880415343, 516.0896489116227], [0.9453125, 0.0]]]
frame 21: [[[794.0615234375, 940.6416015625], [743.0873880923126, 773.0228362818044], [737.666699574578, 562.7178757768972], [840.6470380526443, 524.7541016696995], [833.1439257151342, 704.458809585132], [840.6208545100625, 927.0643951215916], [799.5164553120246, 554.9892173919405], [777.835965593703, 402.6216780445725], [758.4958745857626, 263.879256063918], [747.9013035747628, 238.2830614251314], [729.8331721543238, 75.75391646019528], [485.70051474162045, 366.850935281227], [572.3468876730026, 351.97914891054853], [651.9410056347666, 274.13601636445776], [838.3102550950124, 257.2613110953373], [858.7963642767352, 385.725745949077], [776.3550050487909, 493.83495135798455], [0.94384765625, 0.0]]]
